sample,predicted_tf,deconv_tool,tumor_type,regions,seq_depth,sample_size,seq_method,mixture_type,expected_tf
healthy_NBL_0.01_20000000_rep9,0.0268478663945223,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.01
healthy_NBL_0.025_20000000_rep1,0.0654259662812877,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.025
healthy_NBL_0.025_20000000_rep10,0.069287386045824,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.025
healthy_NBL_0.025_20000000_rep2,0.0691713761028196,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.025
healthy_NBL_0.025_20000000_rep3,0.0667267470367951,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.025
healthy_NBL_0.025_20000000_rep4,0.0684286215626027,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.025
healthy_NBL_0.025_20000000_rep5,0.0663234225425392,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.025
healthy_NBL_0.025_20000000_rep6,0.0654223678142597,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.025
healthy_NBL_0.025_20000000_rep7,0.0652551674102959,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.025
healthy_NBL_0.025_20000000_rep8,0.065426143178996,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.025
healthy_NBL_0.05_20000000_rep1,0.13127440857234,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.05
healthy_NBL_0.05_20000000_rep10,0.126444162620525,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.05
healthy_NBL_0.05_20000000_rep4,0.13437337452064,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.05
healthy_NBL_0.05_20000000_rep5,0.127491280165971,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.05
healthy_NBL_0.05_20000000_rep6,0.134517825492144,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.05
healthy_NBL_0.05_20000000_rep7,0.129346246293971,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.05
healthy_NBL_0.05_20000000_rep8,0.132263327234417,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.05
healthy_NBL_0.1_20000000_rep1,0.251535135035799,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.1
healthy_NBL_0.1_20000000_rep10,0.246412136895706,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.1
healthy_NBL_0.1_20000000_rep2,0.251347645329501,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.1
healthy_NBL_0.1_20000000_rep3,0.254822246338787,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.1
healthy_NBL_0.1_20000000_rep4,0.251486557477976,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.1
healthy_NBL_0.1_20000000_rep5,0.25008908631136,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.1
healthy_NBL_0.1_20000000_rep7,0.247334123249756,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.1
healthy_NBL_0.1_20000000_rep8,0.25008725508725,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.1
healthy_NBL_0.1_20000000_rep9,0.248713167947713,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.1
healthy_NBL_0.25_20000000_rep10,0.564633982607363,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.25
healthy_NBL_0.25_20000000_rep2,0.564125418009516,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.25
healthy_NBL_0.25_20000000_rep3,0.56021866220817,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.25
healthy_NBL_0.25_20000000_rep4,0.562124956994088,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.25
healthy_NBL_0.25_20000000_rep5,0.566039987830494,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.25
healthy_NBL_0.25_20000000_rep6,0.563166058270478,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.25
healthy_NBL_0.25_20000000_rep7,0.564855141398784,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.25
healthy_NBL_0.25_20000000_rep8,0.566637369351688,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.25
healthy_NBL_0.25_20000000_rep9,0.567124400399235,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.25
healthy_NBL_0.5_20000000_rep1,0.998804232983743,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.5
healthy_NBL_0.5_20000000_rep10,1.0,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.5
healthy_NBL_0.5_20000000_rep2,0.998725576815718,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.5
healthy_NBL_0.5_20000000_rep3,0.998575041590408,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.5
healthy_NBL_0.5_20000000_rep4,0.994001539416985,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.5
healthy_NBL_0.5_20000000_rep5,0.995399021366232,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.5
healthy_NBL_0.5_20000000_rep7,0.997914297004429,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.5
healthy_NBL_0.5_20000000_rep8,0.996409212561273,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.5
healthy_NBL_0.5_20000000_rep9,0.995515752230515,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.5
healthy_NBL_0_20000000_rep1,0.0,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0
