"","deconv_tool","dmr_tool","tumor_type","seq_depth","lod","rank_raw"
"350","EpiDISH_CP_ineq","wgbstools","LUSC","183M",0.01,4
"351","EpiDISH_CP_eq","DMRfinder","LUSC","183M",0.01,1
"352","UXM","DMRfinder","LUSC","183M",0.025,8
"353","CelFiE","DMRfinder","LUSC","183M",0.01,1
"354","MetDecode","DMRfinder","LUSC","183M",0.01,1
"355","meth_atlas","DMRfinder","LUSC","183M",0.01,1
"356","EpiDISH_RPC","DMRfinder","LUSC","183M",0.01,1
"357","EpiSCORE","DMRfinder","LUSC","183M",0.01,1
"358","PRMeth","DMRfinder","LUSC","183M",0.25,9
"359","CIBERSORT","DMRfinder","LUSC","183M",0.25,9
"360","EpiDISH_CP_ineq","DMRfinder","LUSC","183M",0.01,1
"361","MetDecode","DMRfinder","BLCA","310M",0.01,1
"362","CelFiE","DMRfinder","BLCA","310M",0.01,1
"363","UXM","DMRfinder","BLCA","310M",0.025,4
"364","meth_atlas","DMRfinder","BLCA","310M",0.025,4
"365","EpiDISH_RPC","DMRfinder","BLCA","310M",1,9
"366","PRMeth","DMRfinder","BLCA","310M",0.025,4
"367","EpiSCORE","DMRfinder","BLCA","310M",0.5,8
"368","CIBERSORT","DMRfinder","BLCA","310M",1,9
"369","EpiDISH_CP_ineq","DMRfinder","BLCA","310M",0.025,4
"370","EpiDISH_CP_eq","DMRfinder","BLCA","310M",0.01,1
"371","MetDecode","limma","BLCA","310M",0.01,4
"372","CelFiE","limma","BLCA","310M",0.003,1
"373","UXM","limma","BLCA","310M",0.01,4
"374","meth_atlas","limma","BLCA","310M",0.01,4
"375","EpiDISH_RPC","limma","BLCA","310M",0.05,8
"376","PRMeth","limma","BLCA","310M",0.025,7
"377","EpiSCORE","limma","BLCA","310M",0.05,8
"378","CIBERSORT","limma","BLCA","310M",0.05,8
"379","EpiDISH_CP_ineq","limma","BLCA","310M",0.003,1
"380","EpiDISH_CP_eq","limma","BLCA","310M",0.003,1
"381","MetDecode","wgbstools","BLCA","310M",0.003,1
"382","CelFiE","wgbstools","BLCA","310M",0.003,1
"383","UXM","wgbstools","BLCA","310M",0.007,5
"384","meth_atlas","wgbstools","BLCA","310M",0.007,5
"385","EpiDISH_RPC","wgbstools","BLCA","310M",0.25,9
"386","PRMeth","wgbstools","BLCA","310M",0.025,8
"387","EpiSCORE","wgbstools","BLCA","310M",0.01,7
"388","CIBERSORT","wgbstools","BLCA","310M",0.25,9
"389","EpiDISH_CP_ineq","wgbstools","BLCA","310M",0.003,1
"390","EpiDISH_CP_eq","wgbstools","BLCA","310M",0.003,1
"391","CelFiE","limma","BLCA","62M",0.025,1
"392","MetDecode","limma","BLCA","62M",0.05,3
"393","UXM","limma","BLCA","62M",0.025,1
"394","EpiDISH_RPC","limma","BLCA","62M",0.1,6
"395","PRMeth","limma","BLCA","62M",0.1,6
"396","EpiSCORE","limma","BLCA","62M",0.1,6
"397","meth_atlas","limma","BLCA","62M",0.05,3
"398","CIBERSORT","limma","BLCA","62M",0.1,6
"399","EpiDISH_CP_ineq","limma","BLCA","62M",0.1,6
"400","EpiDISH_CP_eq","limma","BLCA","62M",0.05,3
"401","CelFiE","DMRfinder","BLCA","62M",0.025,1
"402","MetDecode","DMRfinder","BLCA","62M",0.025,1
"403","UXM","DMRfinder","BLCA","62M",0.025,1
"404","EpiDISH_RPC","DMRfinder","BLCA","62M",1,9
"405","PRMeth","DMRfinder","BLCA","62M",0.1,7
"406","EpiSCORE","DMRfinder","BLCA","62M",0.25,8
"407","meth_atlas","DMRfinder","BLCA","62M",0.05,4
"408","CIBERSORT","DMRfinder","BLCA","62M",1,9
"409","EpiDISH_CP_ineq","DMRfinder","BLCA","62M",0.05,4
"410","EpiDISH_CP_eq","DMRfinder","BLCA","62M",0.05,4
"411","CelFiE","wgbstools","BLCA","62M",0.007,1
